"Survived","Pclass","Sex","Age","SibSp","Parch","Fare","Embarked","Deck","Location","anrede"
"0","2","male",29,0,0,10.5,"S",NA,NA,"Mr"
"0","3","male",22,0,0,7.125,"S",NA,NA,"Mr"
"0","3","male",30,0,0,7.225,"C",NA,NA,"Mr"
"0","1","male",44,2,0,90,"Q","C","backbord","Dr"
"0","3","female",25,0,0,7.775,"S",NA,NA,"Miss"
"1","2","female",24,0,2,14.5,"S",NA,NA,"Mrs"
"1","1","male",37,1,1,52.5542,"S","D","steuerbord","Mr"
"0","2","male",54,1,0,26,"S",NA,NA,"Rev"
"0","3","male",30,0,0,7.25,"S",NA,NA,"Mr"
"0","3","female",29,1,1,10.4625,"S","G","backbord","Mrs"
"0","1","male",62,0,0,26.55,"S","C","steuerbord","Mr"
"0","3","male",30,1,0,16.1,"S",NA,NA,"Mr"
"0","3","female",41,0,2,20.2125,"S",NA,NA,"Mrs"
"1","3","female",29,0,2,15.2458,"C",NA,NA,"Mrs"
"1","1","female",35,0,0,79.2,"C",NA,NA,"Mrs"
"1","1","female",30,0,0,86.5,"S","B","steuerbord","Miss"
"1","1","female",35,0,0,512.3292,"C",NA,NA,"Miss"
"1","2","female",50,0,1,26,"S",NA,NA,"Mrs"
"0","3","male",30,0,0,7.75,"Q",NA,NA,"Mr"
"1","3","male",3,4,2,31.3875,"S",NA,NA,"Master"
"0","1","male",52,1,1,79.65,"S","E","steuerbord","Mr"
"0","1","male",40,0,0,0,"S","B","backbord","Mr"
"0","3","female",21,0,0,7.75,"Q",NA,NA,"Miss"
"0","2","male",36,0,0,10.5,"S",NA,NA,"Mr"
"0","3","male",16,4,1,39.6875,"S",NA,NA,"Mr"
"1","3","male",25,1,0,7.775,"S",NA,NA,"Mr"
"1","1","female",58,0,1,153.4625,"S","C","steuerbord","Mrs"
"1","1","female",35,0,0,135.6333,"S","C","steuerbord","Miss"
"0","1","male",30,0,0,31,"S",NA,NA,"Mr"
"1","3","male",25,0,0,0,"S",NA,NA,"Mr"
"1","2","female",41,0,1,19.5,"S",NA,NA,"Mrs"
"0","1","male",37,0,1,29.7,"C","C","backbord","Mr"
"1","3","female",21,0,0,7.75,"Q",NA,NA,"Miss"
"1","1","female",63,1,0,77.9583,"S","D","steuerbord","Miss"
"0","3","female",45,0,0,7.75,"S",NA,NA,"Miss"
"0","2","male",30,0,0,0,"S",NA,NA,"Mr"
"0","3","male",7,4,1,29.125,"Q",NA,NA,"Master"
"1","3","female",35,1,1,20.25,"S",NA,NA,"Mrs"
"0","3","male",65,0,0,7.75,"Q",NA,NA,"Mr"
"0","3","male",28,0,0,7.8542,"S",NA,NA,"Mr"
"0","3","male",16,0,0,9.5,"S",NA,NA,"Mr"
"1","3","male",19,0,0,8.05,"S",NA,NA,"Mr"
"0","1","male",30,0,0,26,"S","A","steuerbord","Mr"
"0","3","male",33,0,0,8.6625,"C",NA,NA,"Mr"
"1","3","male",30,0,0,9.5,"S",NA,NA,"Mr"
"0","3","male",22,0,0,7.8958,"S",NA,NA,"Mr"
"1","2","male",42,0,0,13,"S",NA,NA,"Mr"
"1","3","female",22,0,0,7.75,"Q",NA,NA,"Miss"
"1","1","female",26,0,0,78.85,"S",NA,NA,"Miss"
"1","1","female",19,1,0,91.0792,"C","B","steuerbord","Mrs"
"0","2","male",36,0,0,12.875,"C","D",NA,"Mr"
"0","3","female",24,0,0,8.85,"S",NA,NA,"Miss"
"0","3","male",24,0,0,7.8958,"S",NA,NA,"Mr"
"0","1","male",30,0,0,27.7208,"C",NA,NA,"Mr"
"0","3","male",23.5,0,0,7.2292,"C",NA,NA,"Mr"
"0","1","female",2,1,2,151.55,"S","C",NA,"Miss"
"1","1","male",30,0,0,30.5,"S","C","backbord","Mr"
"1","1","female",50,0,1,247.5208,"C","B",NA,"Mrs"
"1","3","female",21,0,0,7.75,"Q",NA,NA,"Miss"
"1","3","male",30,2,0,23.25,"Q",NA,NA,"Mr"
"0","3","male",19,0,0,0,"S",NA,NA,"Mr"
"1","2","female",21,0,0,12.35,"Q","E","steuerbord","Miss"
"0","3","male",30,0,0,8.05,"S",NA,NA,"Mr"
"1","1","male",0.92,1,2,151.55,"S","C",NA,"Master"
"1","1","female",21,0,0,110.8833,"C",NA,NA,"Miss"
"1","1","female",17,1,0,108.9,"C","C","steuerbord","Mrs"
"0","2","male",30,1,0,24,"C",NA,NA,"Mr"
"1","1","female",30,0,0,56.9292,"C","E","backbord","Miss"
"1","1","female",24,0,0,83.1583,"C","C","backbord","Miss"
"1","1","female",18,2,2,262.375,"C","B",NA,"Miss"
"0","2","female",26,1,1,26,"S",NA,NA,"Mrs"
"0","3","male",28,0,0,7.8958,"S",NA,NA,"Mr"
"0","2","male",43,1,1,26.25,"S",NA,NA,"Mr"
"1","3","female",26,0,0,7.8542,"S",NA,NA,"Miss"
"1","2","female",24,1,0,26,"S",NA,NA,"Mrs"
"0","2","male",54,0,0,14,"S",NA,NA,"Dr"
"1","1","female",31,0,2,164.8667,"S","C","steuerbord","Miss"
"1","1","female",40,1,1,134.5,"C","E","backbord","Mrs"
"0","3","male",22,0,0,7.25,"S",NA,NA,"Mr"
"0","3","male",27,0,0,7.8958,"S",NA,NA,"Mr"
"1","2","female",30,0,0,12.35,"Q",NA,NA,"Miss"
"1","2","female",22,1,1,29,"S",NA,NA,"Mrs"
"0","3","male",30,8,2,69.55,"S",NA,NA,"Mr"
"1","1","female",36,0,0,135.6333,"C","C","backbord","Miss"
"0","3","male",61,0,0,6.2375,"S",NA,NA,"Mr"
"1","2","female",36,0,0,13,"S","D",NA,"Mrs"
"1","3","female",31,1,1,20.525,"S",NA,NA,"Mrs"
"1","1","female",16,0,1,57.9792,"C","B","backbord","Miss"
"1","3","female",21,2,0,23.25,"Q",NA,NA,"Miss"
"0","1","male",45.5,0,0,28.5,"S","C","backbord","Mr"
"0","1","male",38,0,1,153.4625,"S","C","steuerbord","Mr"
"0","3","male",16,2,0,18,"S",NA,NA,"Mr"
"1","1","female",35,1,0,133.65,"S",NA,NA,"Mrs"
"0","3","male",30,0,0,7.8958,"S",NA,NA,"Mr"
"0","1","male",29,1,0,66.6,"S","C","backbord","Mr"
"1","1","female",41,0,0,134.5,"C","E","backbord","Miss"
"1","3","male",45,0,0,8.05,"S",NA,NA,"Mr"
"0","1","male",45,0,0,35.5,"S","T",NA,"Mr"
"1","2","male",2,1,1,26,"S","F","backbord","Master"
"1","1","female",24,3,2,263,"S","C",NA,"Miss"
"0","2","male",28,0,0,13,"S",NA,NA,"Mr"
"0","2","male",25,0,0,13,"S",NA,NA,"Mr"
"0","2","male",36,0,0,13,"S",NA,NA,"Mr"
"1","2","female",24,0,0,13,"S","F","steuerbord","Miss"
"1","2","female",40,0,0,13,"S",NA,NA,"Miss"
"1","3","female",35,1,0,16.1,"S",NA,NA,"Mrs"
"1","3","male",3,1,1,15.9,"S",NA,NA,"Master"
"0","3","male",42,0,0,8.6625,"S",NA,NA,"Mr"
"0","3","male",23,0,0,9.225,"S",NA,NA,"Mr"
"0","1","male",30,0,0,35,"S","C","backbord","Mr"
"0","3","male",15,1,1,7.2292,"C",NA,NA,"Mr"
"0","3","male",25,1,0,17.8,"S",NA,NA,"Mr"
"0","3","male",30,0,0,7.225,"C",NA,NA,"Mr"
"0","3","male",28,0,0,9.5,"S",NA,NA,"Mr"
"1","1","female",22,0,1,55,"S","E","steuerbord","Miss"
"0","2","female",38,0,0,13,"S",NA,NA,"Miss"
"1","3","female",21,0,0,7.8792,"Q",NA,NA,"Miss"
"1","3","female",21,0,0,7.8792,"Q",NA,NA,"Miss"
"0","3","male",40,1,4,27.9,"S",NA,NA,"Mr"
"0","2","male",29,1,0,27.7208,"C",NA,NA,"Mr"
"0","3","female",45,0,1,14.4542,"C",NA,NA,"Mrs"
"0","3","male",35,0,0,7.05,"S",NA,NA,"Mr"
"0","3","male",30,1,0,15.5,"Q",NA,NA,"Mr"
"0","3","male",30,0,0,7.25,"S",NA,NA,"Mr"
"1","1","female",60,1,0,75.25,"C","D","steuerbord","Mrs"
"1","3","female",35,0,0,7.2292,"C",NA,NA,"Mrs"
"1","3","female",21,0,0,7.75,"Q",NA,NA,"Miss"
"1","1","female",24,0,0,69.3,"C","B","steuerbord","Mme"
"1","1","male",25,1,0,55.4417,"C","E","backbord","Mr"
"0","3","male",18,1,0,6.4958,"S",NA,NA,"Mr"
"0","3","male",19,0,0,8.05,"S",NA,NA,"Mr"
"0","1","male",22,0,0,135.6333,"C",NA,NA,"Mr"
"0","3","female",3,3,1,21.075,"S",NA,NA,"Miss"
"1","1","female",35,1,0,82.1708,"C",NA,NA,"Mrs"
"1","3","female",22,0,0,7.25,"S",NA,NA,"Miss"
"0","1","male",27,0,2,211.5,"C","C","backbord","Mr"
"0","3","male",20,0,0,4.0125,"C",NA,NA,"Mr"
"0","3","male",19,0,0,7.775,"S",NA,NA,"Mr"
"1","1","female",42,0,0,227.525,"C",NA,NA,"Miss"
"1","3","female",1,0,2,15.7417,"C",NA,NA,"Miss"
"0","3","male",32,0,0,7.925,"S",NA,NA,"Mr"
"1","1","female",35,1,0,52,"S",NA,NA,"Mrs"
"0","3","male",30,0,0,7.8958,"S",NA,NA,"Mr"
"0","2","male",18,0,0,73.5,"S",NA,NA,"Mr"
"0","3","male",1,5,2,46.9,"S",NA,NA,"Master"
"1","2","female",36,0,0,13,"S",NA,NA,"Miss"
"0","3","male",30,0,0,7.7292,"Q",NA,NA,"Mr"
"1","2","female",17,0,0,12,"C",NA,NA,"Miss"
"1","1","male",36,1,2,120,"S","B",NA,"Mr"
"1","3","male",21,0,0,7.7958,"S",NA,NA,"Mr"
"0","3","male",28,2,0,7.925,"S",NA,NA,"Mr"
"1","1","female",23,1,0,113.275,"C","D","backbord","Miss"
"1","3","female",24,0,2,16.7,"S","G","backbord","Mrs"
"0","3","male",22,0,0,7.7958,"S",NA,NA,"Mr"
"0","3","female",31,0,0,7.8542,"S",NA,NA,"Miss"
"0","2","male",46,0,0,26,"S",NA,NA,"Mr"
"0","2","male",23,0,0,10.5,"S",NA,NA,"Dr"
"1","2","female",28,0,0,12.65,"S",NA,NA,"Mrs"
"1","3","male",39,0,0,7.925,"S",NA,NA,"Mr"
"0","3","male",26,0,0,8.05,"S",NA,NA,"Mr"
"0","3","female",21,1,0,9.825,"S",NA,NA,"Miss"
"0","3","male",28,1,0,15.85,"S",NA,NA,"Mr"
"0","3","female",20,0,0,8.6625,"S",NA,NA,"Miss"
"0","2","male",34,1,0,21,"S",NA,NA,"Mr"
"0","3","male",51,0,0,7.75,"S",NA,NA,"Mr"
"1","2","male",3,1,1,18.75,"S",NA,NA,"Master"
"0","3","male",21,0,0,7.775,"S",NA,NA,"Mr"
"0","3","female",21,3,1,25.4667,"S",NA,NA,"Miss"
"0","3","male",30,0,0,7.8958,"S",NA,NA,"Mr"
"0","3","male",30,0,0,6.8583,"Q",NA,NA,"Mr"
"1","1","female",33,1,0,90,"Q","C","backbord","Miss"
"0","2","male",30,0,0,0,"S",NA,NA,"Mr"
"1","3","male",44,0,0,7.925,"S",NA,NA,"Mr"
"0","3","female",35,0,0,8.05,"S",NA,NA,"Mrs"
"1","2","female",34,1,1,32.5,"S",NA,NA,"Mrs"
"1","2","female",18,0,2,13,"S",NA,NA,"Miss"
"0","2","male",30,0,0,13,"S",NA,NA,"Mr"
"0","3","female",10,0,2,24.15,"S",NA,NA,"Miss"
"0","3","male",30,0,0,7.8958,"C",NA,NA,"Mr"
"0","3","male",21,0,0,7.7333,"Q",NA,NA,"Mr"
"0","3","male",29,0,0,7.875,"S",NA,NA,"Mr"
"0","3","female",28,1,1,14.4,"S",NA,NA,"Mrs"
"0","3","male",18,1,1,20.2125,"S",NA,NA,"Mr"
"0","3","male",30,0,0,7.25,"S",NA,NA,"Mr"
"1","2","female",28,1,0,26,"S",NA,NA,"Mrs"
"1","2","female",19,0,0,26,"S",NA,NA,"Miss"
"0","3","male",30,0,0,7.75,"Q",NA,NA,"Mr"
"1","3","male",32,0,0,8.05,"S","E","backbord","Mr"
"1","1","male",28,0,0,26.55,"S","C","backbord","Mr"
"1","3","female",35,1,0,16.1,"S",NA,NA,"Mrs"
